index_id,survived,passenger_class,name,sex,age,siblings_spouse_aboard,parents_children_aboard,purchase_fare,original_fare_value,total_passengers
ri_000060,0,3,Mr. Orsen Sirayanian,male,22,0,0,,8.5305,
ri_000061,1,1,Miss. Amelie Icard,female,38,0,0,80,88.8,1
ri_000062,0,1,Mr. Henry Birkhardt Harris,male,45,1,0,,94.3268,2
ri_000063,0,3,Master. Harald Skoog,male,4,3,2,,30.969,6
ri_000064,0,1,Mr. Albert A Stewart,male,64,0,0,27.7208,32.1561,1
ri_000065,1,3,Master. Gerios Moubarek,male,,1,1,15.2458,16.7704,
ri_000066,1,2,Mrs. (Elizabeth Ramell) Nye,female,29,0,0,10.5,12.495,1
ri_000067,0,3,Mr. Ernest James Crease,male,19,0,0,8.1583,9.5452,1
ri_000068,1,3,Miss. Erna Alexandra Andersson,,17,,2,7.925,9.0345,7
ri_000069,0,3,Mr. Vincenz Kink,male,26,2,0,8.6625,9.6154,3
ri_000070,0,2,Mr. Stephen Curnow Jenkin,male,,0,0,10.5,11.655,1
ri_000071,0,3,Miss. Lillian Amy Goodwin,,16,5,2,46.9,54.873,
ri_000072,0,2,Mr. Ambrose Jr Hood,male,21,0,0,,84.525,1
ri_000073,0,3,Mr. Apostolos Chronopoulos,,26,1,0,14.4542,16.7669,2
ri_000074,1,3,Mr. Lee Bing,male,32,0,0,56.4958,64.9702,1
ri_000075,0,3,Mr. Sigurd Hansen Moen,,25,0,0,7.65,9.027,1
ri_000076,0,3,Mr. Ivan Staneff,male,23,,0,7.8958,8.8433,1
ri_000077,0,3,Mr. Rahamin Haim Moutal,,28,0,0,8.05,9.0965,
ri_000078,1,2,Master. Alden Gates Caldwell,male,0.83,0,2,29,34.22,3
ri_000079,1,3,Miss. Elizabeth Dowdell,female,30,0,0,12.475,14.2215,1
ri_000080,0,3,Mr. Achille Waelens,male,,0,0,9,9.99,1
ri_000081,1,3,Mr. Jan Baptist Sheerlinck,male,29,0,0,9.5,10.545,
ri_000082,1,3,Miss. Brigdet Delia McDermott,female,31,0,0,7.7875,9.0335,1
ri_000083,0,,Mr. Francisco M Carrau,male,28,0,0,47.1,54.636,1
ri_000084,1,2,Miss. Bertha Ilett,female,17,0,0,10.5,11.55,1
ri_000085,1,3,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,33,,0,15.85,17.435,
ri_000086,0,3,Mr. William Neal Ford,male,16,1,3,34.375,41.25,5
ri_000087,,3,Mr. Selman Francis Slocovski,male,20,0,0,8.05,9.016,1
ri_000088,1,1,Miss. Mabel Helen Fortune,female,23,3,2,263,289.3,6
ri_000089,0,3,Mr. Francesco Celotti,male,24,0,0,8.05,9.499,1
ri_000090,0,3,Mr. Emil Christmann,male,29,0,0,8.05,8.9355,1
ri_000091,0,,Mr. Paul Edvin Andreasson,male,20,,0,7.8542,8.9538,1
ri_000092,0,1,Mr. Herbert Fuller Chaffee,male,46,1,0,61.175,68.516,2
ri_000093,0,,Mr. Bertram Frank Dean,male,26,1,2,20.575,22.6325,
ri_000094,0,,Mr. Daniel Coxon,male,59,0,0,7.25,8.7,1
ri_000095,0,3,Mr. Charles Joseph Shorney,,22,0,0,8.05,9.338,1
ri_000096,0,1,Mr. George B Goldschmidt,male,,0,0,34.6542,39.1592,1
ri_000097,1,1,Mr. William Bertram Greenfield,,23,0,1,63.3583,69.6941,2
ri_000098,1,,Mrs. John T (Ada Julia Bone) Doling,female,34,0,1,23,25.3,2
ri_000099,0,,Mr. Sinai Kantor,male,34,1,0,26,28.6,2
ri_000100,0,,Miss. Matilda Petranec,female,28,0,0,7.8958,9.0802,1
ri_000101,0,,Mr. Pastcho Petroff,male,29,0,0,7.8958,9.396,1
ri_000102,0,1,Mr. Richard Frasar White,male,21,,1,77.2875,87.3349,2
ri_000103,0,3,Mr. Gustaf Joel Johansson,male,,0,0,8.6542,9.6062,1
ri_000104,0,3,Mr. Anders Vilhelm Gustafsson,,37,2,0,7.925,9.0345,
ri_000105,0,3,Mr. Stoytcho Mionoff,male,,0,0,7.8958,9.2381,1
ri_000106,1,3,Miss. Anna Kristine Salkjelsvik,female,21,0,0,7.65,8.568,1
ri_000107,1,3,Mr. Albert Johan Moss,male,,0,0,7.775,8.7858,1
ri_000108,0,3,Mr. Tido Rekic,male,38,0,0,7.8958,9.0802,1
ri_000109,1,,Miss. Bertha Moran,female,28,,0,24.15,28.014,2
ri_000110,0,,Mr. Walter Chamberlain Porter,male,47,0,0,52,58.76,1
ri_000111,0,3,Miss. Hileni Zabour,female,14.5,1,0,14.4542,16.1887,2
ri_000112,0,,Mr. David John Barton,male,,0,0,8.05,9.4185,
ri_000113,0,3,Miss. Katriina Jussila,female,20,1,0,9.825,11.4953,2
ri_000114,0,3,Miss. Malake Attalah,female,17,0,0,14.4583,16.9162,1
ri_000115,0,3,Mr. Edvard Pekoniemi,male,21,0,0,7.925,8.7968,1
ri_000116,0,3,Mr. Patrick Connors,male,70.5,0,0,7.75,8.68,1
ri_000117,0,2,Mr. William John Robert Turpin,,29,1,,21,23.73,2
ri_000118,0,1,Mr. Quigg Edmond Baxter,male,24,,1,247.5208,274.7481,2
ri_000119,0,3,Miss. Ellis Anna Maria Andersson,female,2,4,2,31.275,35.028,
ri_000120,0,2,Mr. Stanley George Hickman,male,21,2,0,73.5,85.26,3
ri_000121,0,3,Mr. Leonard Charles Moore,male,19,0,0,8.05,9.0965,1
ri_000122,0,2,Mr. Nicholas Nasser,male,32.5,,0,30.0708,33.3786,2
ri_000123,1,,Miss. Susan Webber,female,,0,,13,14.3,1
ri_000124,0,,Mr. Percival Wayland White,male,54,0,1,77.2875,85.7891,2
ri_000125,1,,Master. Elias Nicola-Yarred,male,12,1,0,11.2417,13.2652,2
ri_000126,0,3,Mr. Martin McMahon,male,19,0,0,7.75,8.525,1
ri_000127,1,3,Mr. Fridtjof Arne Madsen,male,24,0,0,7.1417,8.4986,1
ri_000128,1,3,Miss. Anna Peter,female,2,1,1,22.3583,24.8177,3
ri_000129,0,3,Mr. Johan Ekstrom,male,45,0,0,6.975,7.812,
ri_000130,0,3,Mr. Jozef Drazenoic,male,33,0,,7.8958,9.317,1
ri_000131,0,3,Mr. Domingos Fernandeo Coelho,male,20,,0,7.05,7.896,
ri_000132,0,3,Mrs. Alexander A (Grace Charity Laury) Robins,female,47,1,0,14.5,17.4,2
ri_000133,1,2,Mrs. Leopold (Mathilde Francoise Pede) Weisz,female,29,1,0,26,28.6,
ri_000134,0,2,Mr. Samuel James Hayden Sobey,male,,0,0,13,14.3,1
ri_000135,0,2,Mr. Emile Richard,male,23,0,0,15.0458,17.9045,1
ri_000136,1,1,Miss. Helen Monypeny Newsom,female,19,0,,26.2833,30.7515,3
ri_000137,0,1,Mr. Jacques Heath Futrelle,male,37,1,,53.1,63.72,2
ri_000138,0,3,Mr. Olaf Elon Osen,male,16,0,0,9.2167,10.4149,1
ri_000139,0,1,Mr. Victor Giglio,male,,0,0,79.2,93.456,1
ri_000140,0,3,Mrs. Joseph (Sultana) Boulos,female,40,,2,15.2458,17.5327,3
ri_000141,1,3,Miss. Anna Sofia Nysten,female,22,0,,7.75,8.99,1
ri_000142,1,3,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,female,24,1,0,15.85,18.069,2
ri_000143,0,3,Mr. Jeremiah Burke,male,19,0,0,,7.8975,1
ri_000144,0,2,Mr. Edgardo Samuel Andrew,male,18,0,0,11.5,13.34,1
ri_000145,0,2,Mr. Joseph Charles Nicholls,male,19,1,1,,44.1,3
ri_000146,1,3,Mr. August Edvard Andersson,male,27,0,0,7.7958,9.355,1
ri_000147,0,3,Miss. Robina Maggie Ford,female,9,2,2,,40.2188,5
ri_000148,0,2,Mr. Michel Navratil,male,,0,2,26,30.68,3
ri_000149,0,2,Rev. Thomas Roussel Davids Byles,male,42,,0,13,14.3,1
ri_000150,0,2,Rev. Robert James Bateman,male,51,0,0,12.525,14.1533,1
ri_000151,1,1,Mrs. Thomas (Edith Wearne) Pears,female,22,1,0,66.6,77.256,2
ri_000152,0,3,Mr. Alfonzo Meo,male,55.5,0,0,8.05,9.66,1
ri_000153,0,3,Mr. Austin Blyler van Billiard,male,40.5,0,2,14.5,15.95,3
ri_000154,0,3,Mr. Ole Martin Olsen,male,27,0,0,7.3125,8.775,1
ri_000155,0,1,Mr. Charles Duane Williams,male,51,0,1,61.3792,71.1999,2
ri_000156,1,3,Miss. Katherine Gilnagh,female,16,,0,7.7333,8.9706,1
ri_000157,0,3,Mr. Harry Corn,male,30,0,0,8.05,9.2575,1
ri_000158,0,3,Mr. Mile Smiljanic,male,37,0,0,,9.702,1
ri_000159,0,3,Master. Thomas Henry Sage,male,5,8,2,69.55,78.5915,11
ri_000160,0,3,Mr. John Hatfield Cribb,male,44,0,1,16.1,19.32,2
ri_000161,1,2,Mrs. James (Elizabeth Inglis Milne) Watt,female,40,0,0,,18.27,1
ri_000162,0,3,Mr. John Viktor Bengtsson,male,26,0,0,7.775,8.7858,1
ri_000163,0,3,Mr. Jovo Calic,male,,0,0,,10.3084,1
ri_000164,0,3,Master. Eino Viljami Panula,male,1,,1,39.6875,46.8313,6
ri_000165,1,3,Master. Frank John William Goldsmith,male,9,0,2,20.525,24.4248,3
ri_000166,1,1,Mrs. (Edith Martha Bowerman) Chibnall,female,48,0,1,55,65.45,2
ri_000167,0,3,Mrs. William (Anna Bernhardina Karlsson) Skoog,female,45,1,4,27.9,30.69,6
ri_000168,0,1,Mr. John D Baumann,male,,0,0,25.925,29.036,
ri_000169,0,3,Mr. Lee Ling,male,28,0,0,56.4958,66.665,1
ri_000170,0,1,Mr. Wyckoff Van der hoef,male,61,0,0,33.5,37.52,1
ri_000171,0,3,Master. Arthur Rice,male,4,4,1,29.125,32.3288,
ri_000172,1,3,Miss. Eleanor Ileen Johnson,female,,1,1,11.1333,12.692,3
ri_000173,0,3,Mr. Antti Wilhelm Sivola,male,21,,0,,8.7175,1
ri_000174,0,1,Mr. James Clinch Smith,male,56,0,0,30.6958,34.6863,1
ri_000175,0,3,Mr. Klas Albin Klasen,male,18,1,1,7.8542,9.3465,3
ri_000176,0,3,Master. Henry Forbes Lefebre,male,5,3,1,25.4667,30.3054,5
ri_000177,0,1,Miss. Ann Elizabeth Isham,female,50,0,0,28.7125,33.8808,
ri_000178,0,2,Mr. Reginald Hale,male,30,0,0,13,14.69,
ri_000179,0,3,Mr. Lionel Leonard,male,36,0,0,,0,
ri_000180,0,3,Miss. Constance Gladys Sage,female,8,8,2,69.55,78.5915,11
ri_000181,0,2,Mr. Rene Pernot,,39,0,0,15.05,17.157,1
ri_000182,0,3,Master. Clarence Gustaf Hugo Asplund,male,9,4,2,,34.5263,7
ri_000183,1,2,Master. Richard F Becker,,1,2,1,39,44.46,4
ri_000184,1,3,Miss. Luise Gretchen Kink-Heilmann,female,4,0,2,22.025,24.8883,3
ri_000185,0,1,Mr. Hugh Roscoe Rood,,39,0,0,50,58,1
ri_000186,1,3,Mrs. Thomas (Johanna Godfrey) O'Brien,female,26,1,0,15.5,17.515,2
ri_000187,1,1,Mr. Charles Hallace Romaine,male,45,0,0,26.55,30.267,1
ri_000188,0,3,Mr. John Bourke,male,40,1,1,,17.515,3
ri_000189,0,3,Mr. Stjepan Turcin,male,,0,0,7.8958,8.9223,1
ri_000190,1,2,Mrs. (Rosa) Pinsky,female,32,0,0,13,15.08,1
ri_000191,0,2,Mr. William Carbines,male,,0,0,13,15.21,1
ri_000192,1,3,Miss. Carla Christine Nielsine Andersen-Jensen,female,19,1,0,7.8542,8.7967,2
ri_000193,1,2,Master. Michel M Navratil,male,,1,1,26,31.2,3
ri_000194,1,1,Mrs. James Joseph (Margaret Tobin) Brown,female,,0,0,27.7208,30.4929,
ri_000195,1,1,Miss. Elise Lurette,female,58,,0,146.5208,165.5685,1
ri_000196,0,3,Mr. Robert Mernagh,male,28,0,0,7.75,9.3,1
ri_000197,0,3,Mr. Karl Siegwart Andreas Olsen,male,42,0,1,8.4042,9.5808,2
ri_000198,1,3,Miss. Margaret Madigan,female,21,,0,,8.99,1
ri_000199,0,2,Miss. Henriette Yrois,female,24,0,0,13,14.69,1
ri_000200,0,3,Mr. Nestor Cyriel Vande Walle,male,,0,0,9.5,11.21,1
ri_000201,0,3,Mr. Frederick Sage,male,17,8,2,69.55,79.287,11
ri_000202,0,3,Mr. Jakob Alfred Johanson,male,34,0,0,,7.6001,1
ri_000203,0,3,Mr. Gerious Youseff,male,,0,0,7.225,8.092,1
ri_000204,1,3,Mr. Gurshon Cohen,male,,0,0,,8.855,
ri_000205,0,3,Miss. Telma Matilda Strom,female,2,,1,10.4625,12.1365,2
ri_000206,0,3,Mr. Karl Alfred Backstrom,male,,1,0,15.85,17.9105,2
ri_000207,1,3,Mr. Nassef Cassem Albimona,male,26,0,0,18.7875,21.9814,1
ri_000208,1,3,Miss. Helen Carr,female,16,0,0,7.75,8.68,1
ri_000209,1,1,Mr. Henry Blank,male,40,0,0,31,35.34,
ri_000210,0,3,Mr. Ahmed Ali,male,24,0,0,7.05,8.46,1
ri_000211,1,2,Miss. Clear Annie Cameron,female,35,0,0,21,23.31,1
ri_000212,0,3,Mr. John Henry Perkin,male,22,0,0,7.25,7.975,1
ri_000213,0,2,Mr. Hans Kristensen Givard,male,30,0,0,13,15.34,1
ri_000214,0,3,Mr. Philip Kiernan,male,22,1,0,7.75,9.3,2
ri_000215,1,1,Miss. Madeleine Newell,female,31,1,0,113.275,132.5318,2
ri_000216,1,3,Miss. Eliina Honkanen,female,27,0,0,7.925,8.7968,1
ri_000217,0,2,Mr. Sidney Samuel Jacobsohn,male,42,1,0,27,30.78,2
ri_000218,1,1,Miss. Albina Bazzani,female,32,0,0,76.2917,89.2613,1
ri_000219,0,2,Mr. Walter Harris,male,30,0,0,10.5,12.285,1
ri_000220,1,3,Mr. Victor Francis Sunderland,male,16,0,0,8.05,9.4185,1
ri_000221,0,2,Mr. James H Bracken,male,27,0,0,,14.3,1
ri_000222,0,3,Mr. George Henry Green,male,51,0,0,8.05,9.4185,1
ri_000223,0,3,Mr. Christo Nenkoff,male,22,0,0,7.8958,9.0802,
ri_000224,1,1,Mr. Frederick Maxfield Hoyt,male,38,1,0,90,106.2,2
ri_000225,0,3,Mr. Karl Ivar Sven Berglund,male,22,0,,9.35,10.472,1
ri_000226,1,2,Mr. William John Mellors,male,19,0,0,,11.97,1
ri_000227,0,3,Mr. John Hall Lovell,male,20.5,0,0,7.25,8.265,1
ri_000228,0,2,Mr. Arne Jonas Fahlstrom,male,18,0,0,13,14.3,1
ri_000229,0,3,Miss. Mathilde Lefebre,female,12,3,,25.4667,28.0134,5
ri_000230,,1,Mrs. Henry Birkhardt (Irene Wallach) Harris,female,35,1,,83.475,99.3353,2
ri_000231,0,3,Mr. Bengt Edvin Larsson,male,29,0,0,7.775,9.019,1
ri_000232,0,2,Mr. Ernst Adolf Sjostedt,male,,0,0,13.5,15.39,1
ri_000233,1,3,Miss. Lillian Gertrud Asplund,female,,4,2,31.3875,34.5263,7
ri_000234,0,2,Mr. Robert William Norman Leyson,male,24,0,0,10.5,11.55,1
ri_000235,0,3,Miss. Alice Phoebe Harknett,female,,0,,7.55,8.305,1
ri_000236,0,2,Mr. Stephen Hold,male,,1,0,26,29.38,
ri_000237,1,2,Miss. Marjorie Collyer,female,,0,2,26.25,28.875,3
ri_000238,0,2,Mr. Frederick William Pengelly,male,,0,0,10.5,11.76,1
ri_000239,0,2,Mr. George Henry Hunt,male,,,0,12.275,13.748,1
ri_000240,0,3,Miss. Thamine Zabour,female,19,1,0,14.4542,17.345,2
ri_000241,1,3,Miss. Katherine Murphy,female,18,1,0,15.5,17.98,2
ri_000242,0,2,Mr. Reginald Charles Coleridge,male,29,,0,,11.865,1
ri_000243,0,3,Mr. Matti Alexanteri Maenpaa,male,22,0,0,7.125,8.0513,1
ri_000244,0,3,Mr. Sleiman Attalah,male,30,,0,7.225,8.5255,1
ri_000245,0,1,Dr. William Edward Minahan,male,44,2,0,90,100.8,3
ri_000246,0,3,Miss. Agda Thorilda Viktoria Lindahl,female,25,0,,7.775,8.708,1
ri_000247,1,2,Mrs. William (Anna) Hamalainen,female,24,0,2,14.5,16.675,
ri_000248,1,1,Mr. Richard Leonard Beckwith,male,37,1,1,52.5542,58.3352,3
ri_000249,0,2,Rev. Ernest Courtenay Carter,male,54,1,0,26,30.94,2
ri_000250,0,3,Mr. James George Reed,male,18,0,0,,8.265,1
ri_000251,0,3,Mrs. Wilhelm (Elna Matilda Persson) Strom,female,29,1,1,10.4625,11.9273,3
ri_000252,0,1,Mr. William Thomas Stead,male,62,0,0,26.55,31.329,1
ri_000253,0,3,Mr. William Arthur Lobb,male,30,1,0,16.1,18.354,2
ri_000254,0,3,Mrs. Viktor (Helena Wilhelmina) Rosblom,female,41,0,2,20.2125,24.255,3
ri_000255,1,3,Mrs. Darwis (Hanne Youssef Razi) Touma,female,29,0,2,15.2458,17.0753,3
ri_000256,1,1,Mrs. Gertrude Maybelle Thorne,female,38,0,0,79.2,94.248,1
ri_000257,1,1,Miss. Gladys Cherry,female,30,0,0,86.5,100.34,1
ri_000258,1,1,Miss. Anna Ward,female,35,0,0,512.3292,599.4252,
ri_000259,1,2,Mrs. (Lutie Davis) Parrish,female,50,0,1,,30.68,2
ri_000260,1,3,Master. Edvin Rojj Felix Asplund,male,3,,,31.3875,37.0373,7
ri_000261,0,1,Mr. Emil Taussig,male,52,1,1,79.65,89.208,3
ri_000262,0,1,Mr. William Harrison,male,40,0,0,0,0,1
ri_000263,0,3,Miss. Delia Henry,female,21,0,0,7.75,9.3,1
ri_000264,0,2,Mr. David Reeves,male,36,0,0,10.5,11.655,1
ri_000265,0,3,Mr. Ernesti Arvid Panula,male,16,4,1,39.6875,46.0375,
ri_000266,1,3,Mr. Ernst Ulrik Persson,male,25,1,,7.775,9.1745,2
ri_000267,1,1,Mrs. William Thompson (Edith Junkins) Graham,female,58,0,,153.4625,170.3434,2
ri_000268,1,1,Miss. Amelia Bissette,female,35,0,0,135.6333,154.622,1
ri_000269,0,1,Mr. Alexander Cairns,male,28,0,,31,36.89,1
ri_000270,1,3,Mr. William Henry Tornquist,male,25,0,0,0,0,1
ri_000271,1,2,Mrs. (Elizabeth Anne Maidment) Mellinger,female,41,0,1,19.5,23.01,2
ri_000272,0,1,Mr. Charles H Natsch,male,37,0,1,29.7,34.749,
ri_000273,1,3,Miss. Hanora Healy,female,33,,0,7.75,8.7575,
ri_000274,1,1,Miss. Kornelia Theodosia Andrews,female,63,1,0,77.9583,86.5337,
ri_000275,0,3,Miss. Augusta Charlotta Lindblom,female,45,0,0,7.75,8.68,1
ri_000276,0,2,Mr. Francis Parkes,male,21,0,0,0,0,
ri_000277,0,3,Master. Eric Rice,male,7,4,1,29.125,32.62,6
ri_000278,1,3,Mrs. Stanton (Rosa Hunt) Abbott,female,35,1,1,20.25,23.49,3
ri_000279,0,3,Mr. Frank Duane,male,65,0,0,7.75,8.6025,1
ri_000280,0,3,Mr. Nils Johan Goransson Olsson,male,28,0,0,7.8542,9.425,1
ri_000281,0,3,Mr. Alfons de Pelsmaeker,male,16,,0,9.5,11.115,1
ri_000282,1,3,Mr. Edward Arthur Dorking,male,19,0,0,8.05,8.855,1
ri_000283,0,1,Mr. Richard William Smith,male,57,0,0,26,29.38,1
ri_000284,0,3,Mr. Ivan Stankovic,male,33,0,0,8.6625,9.7886,1
ri_000285,1,3,Mr. Theodore de Mulder,male,30,0,0,9.5,10.545,1
ri_000286,0,3,Mr. Penko Naidenoff,male,22,0,0,7.8958,9.1591,1
ri_000287,1,2,Mr. Masabumi Hosono,male,42,0,0,13,15.21,1
ri_000288,1,3,Miss. Kate Connolly,female,22,0,0,7.75,9.145,1
ri_000289,1,1,Miss. Ellen Barber,female,26,0,0,78.85,86.735,1
ri_000290,1,1,Mrs. Dickinson H (Helen Walton) Bishop,female,19,1,0,91.0792,106.5627,2
ri_000291,0,2,Mr. Rene Jacques Levy,male,36,0,0,12.875,15.1925,1
ri_000292,0,3,Miss. Aloisia Haas,female,24,0,0,8.85,10.5315,1
ri_000293,0,3,Mr. Ivan Mineff,male,24,0,0,7.8958,8.6854,1
ri_000294,0,1,Mr. Ervin G Lewy,male,30,0,0,27.7208,31.8789,1
ri_000295,0,3,Mr. Mansour Hanna,male,23.5,0,0,7.2292,8.0244,1
ri_000296,0,1,Miss. Helen Loraine Allison,female,2,1,2,151.55,171.2515,4
ri_000297,1,1,Mr. Adolphe Saalfeld,male,47,0,0,30.5,33.855,1
ri_000298,1,1,Mrs. James (Helene DeLaudeniere Chaput) Baxter,female,50,0,1,,294.5498,2
ri_000299,1,3,Miss. Anna Katherine Kelly,female,20,0,0,7.75,9.2225,1
ri_000300,1,3,Mr. Bernard McCoy,male,24,2,0,,27.2025,3
ri_000301,0,3,Mr. William Cahoone Jr Johnson,male,19,0,0,,0,1
ri_000302,1,2,Miss. Nora A Keane,female,46,0,0,,14.2025,1
ri_000303,0,3,Mr. Howard Hugh Williams,male,28,0,0,8.05,8.855,1
ri_000304,1,1,Master. Hudson Trevor Allison,male,0.92,1,2,151.55,178.829,4
ri_000305,1,1,Miss. Margaret Fleming,female,42,0,0,110.8833,131.9511,1
ri_000306,1,1,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,female,17,1,0,108.9,120.879,2
ri_000307,0,2,Mr. Samuel Abelson,male,30,1,0,24,27.6,2
ri_000308,1,1,Miss. Laura Mabel Francatelli,female,30,0,0,56.9292,64.8993,1
ri_000309,1,1,Miss. Margaret Bechstein Hays,female,24,0,0,83.1583,91.4741,1
ri_000310,1,1,Miss. Emily Borie Ryerson,female,18,2,2,262.375,314.85,5
ri_000311,0,2,Mrs. William (Anna Sylfven) Lahtinen,female,26,1,1,26,30.16,3
ri_000312,0,3,Mr. Ignjac Hendekovic,male,28,,0,7.8958,9.475,1
ri_000313,0,2,Mr. Benjamin Hart,male,43,1,1,26.25,31.2375,3
ri_000314,1,3,Miss. Helmina Josefina Nilsson,female,26,,0,7.8542,9.425,1
ri_000315,1,2,Mrs. Sinai (Miriam Sternin) Kantor,female,24,1,0,26,30.68,2
ri_000316,0,2,Dr. Ernest Moraweck,male,54,,0,14,16.8,1
ri_000317,1,1,Miss. Mary Natalie Wick,female,31,0,2,,197.84,3
