Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,45,11/6/1995,11/12/1995,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,46,11/13/1995,11/19/1995,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,47,11/20/1995,11/26/1995,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,48,11/27/1995,12/3/1995,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,49,12/4/1995,12/10/1995,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,50,12/11/1995,12/17/1995,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,51,12/18/1995,12/24/1995,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1995,52,12/25/1995,12/31/1995,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,1,1/1/1996,1/7/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,2,1/8/1996,1/14/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,3,1/15/1996,1/21/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,4,1/22/1996,1/28/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,5,1/29/1996,2/4/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,6,2/5/1996,2/11/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,7,2/12/1996,2/18/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,8,2/19/1996,2/25/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,9,2/26/1996,3/3/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,10,3/4/1996,3/10/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,11,3/11/1996,3/17/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,12,3/18/1996,3/24/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,13,3/25/1996,3/31/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,14,4/1/1996,4/7/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,15,4/8/1996,4/14/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,16,4/15/1996,4/21/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,17,4/22/1996,4/28/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,18,4/29/1996,5/5/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,19,5/6/1996,5/12/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,20,5/13/1996,5/19/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,21,5/20/1996,5/26/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,22,5/27/1996,6/2/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,23,6/3/1996,6/9/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,24,6/10/1996,6/16/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,25,6/17/1996,6/23/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,26,6/24/1996,6/30/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,27,7/1/1996,7/7/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,28,7/8/1996,7/14/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,29,7/15/1996,7/21/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,30,7/22/1996,7/28/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,31,7/29/1996,8/4/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,32,8/5/1996,8/11/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,33,8/12/1996,8/18/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,34,8/19/1996,8/25/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,35,8/26/1996,9/1/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,36,9/2/1996,9/8/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,37,9/9/1996,9/15/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,38,9/16/1996,9/22/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,39,9/23/1996,9/29/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,40,9/30/1996,10/6/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,41,10/7/1996,10/13/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,42,10/14/1996,10/20/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,43,10/21/1996,10/27/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,44,10/28/1996,11/3/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,45,11/4/1996,11/10/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,46,11/11/1996,11/17/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,47,11/18/1996,11/24/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,48,11/25/1996,12/1/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,49,12/2/1996,12/8/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,50,12/9/1996,12/15/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,51,12/16/1996,12/22/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1996,52,12/23/1996,12/29/1996,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,1,12/30/1996,1/5/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,2,1/6/1997,1/12/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,3,1/13/1997,1/19/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,4,1/20/1997,1/26/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,5,1/27/1997,2/2/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,6,2/3/1997,2/9/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,7,2/10/1997,2/16/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,8,2/17/1997,2/23/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,9,2/24/1997,3/2/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,10,3/3/1997,3/9/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,11,3/10/1997,3/16/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,12,3/17/1997,3/23/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,13,3/24/1997,3/30/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,14,3/31/1997,4/6/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,15,4/7/1997,4/13/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,16,4/14/1997,4/20/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,17,4/21/1997,4/27/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,18,4/28/1997,5/4/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,19,5/5/1997,5/11/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,20,5/12/1997,5/18/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,21,5/19/1997,5/25/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,22,5/26/1997,6/1/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,23,6/2/1997,6/8/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,24,6/9/1997,6/15/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,25,6/16/1997,6/22/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,26,6/23/1997,6/29/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,27,6/30/1997,7/6/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,28,7/7/1997,7/13/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,29,7/14/1997,7/20/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,30,7/21/1997,7/27/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,31,7/28/1997,8/3/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,32,8/4/1997,8/10/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,33,8/11/1997,8/17/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,34,8/18/1997,8/24/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,35,8/25/1997,8/31/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,36,9/1/1997,9/7/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,37,9/8/1997,9/14/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,38,9/15/1997,9/21/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,39,9/22/1997,9/28/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,40,9/29/1997,10/5/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,41,10/6/1997,10/12/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,42,10/13/1997,10/19/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,43,10/20/1997,10/26/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,44,10/27/1997,11/2/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,45,11/3/1997,11/9/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,46,11/10/1997,11/16/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,47,11/17/1997,11/23/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,48,11/24/1997,11/30/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,49,12/1/1997,12/7/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,50,12/8/1997,12/14/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,51,12/15/1997,12/21/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1997,52,12/22/1997,12/28/1997,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,1,12/29/1997,1/4/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,2,1/5/1998,1/11/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,3,1/12/1998,1/18/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,4,1/19/1998,1/25/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,5,1/26/1998,2/1/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,6,2/2/1998,2/8/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,7,2/9/1998,2/15/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,8,2/16/1998,2/22/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,9,2/23/1998,3/1/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,10,3/2/1998,3/8/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,11,3/9/1998,3/15/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,12,3/16/1998,3/22/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,13,3/23/1998,3/29/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,14,3/30/1998,4/5/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,15,4/6/1998,4/12/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,16,4/13/1998,4/19/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,17,4/20/1998,4/26/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,18,4/27/1998,5/3/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,19,5/4/1998,5/10/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,20,5/11/1998,5/17/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,21,5/18/1998,5/24/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,22,5/25/1998,5/31/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,23,6/1/1998,6/7/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,24,6/8/1998,6/14/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,25,6/15/1998,6/21/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,26,6/22/1998,6/28/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,27,6/29/1998,7/5/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,28,7/6/1998,7/12/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,29,7/13/1998,7/19/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,30,7/20/1998,7/26/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,31,7/27/1998,8/2/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,32,8/3/1998,8/9/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,33,8/10/1998,8/16/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,34,8/17/1998,8/23/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,35,8/24/1998,8/30/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,36,8/31/1998,9/6/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,37,9/7/1998,9/13/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,38,9/14/1998,9/20/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,39,9/21/1998,9/27/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,40,9/28/1998,10/4/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,41,10/5/1998,10/11/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,42,10/12/1998,10/18/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,43,10/19/1998,10/25/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,44,10/26/1998,11/1/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,45,11/2/1998,11/8/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,46,11/9/1998,11/15/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,47,11/16/1998,11/22/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,48,11/23/1998,11/29/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,49,11/30/1998,12/6/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,50,12/7/1998,12/13/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,51,12/14/1998,12/20/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,52,12/21/1998,12/27/1998,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1998,53,12/28/1998,1/3/1999,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1999,1,1/4/1999,1/10/1999,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1999,2,1/11/1999,1/17/1999,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1999,3,1/18/1999,1/24/1999,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1999,4,1/25/1999,1/31/1999,,,,,,,,,,,,,,,No Report
Bangladesh,South-East Asia Region of WHO,Southern Asia,1999,5,2/1/1999,2/7/1999,,,,,,,,,,,,,,,No Report
