pos_xy,00:0f:a3:39:dd:cd,00:0f:a3:39:e1:c0,00:14:bf:3b:c7:c6,00:14:bf:b1:97:81,00:14:bf:b1:97:8a,00:14:bf:b1:97:8d,00:14:bf:b1:97:90
21.0-7.0,-77.28301886792453,-57.8969696969697,-64.23899371069183,-54.533568904593636,-62.533112582781456,-44.570945945945944,-74.34456928838951
21.0-8.0,-74.24749163879599,-55.89393939393939,-61.650735294117645,-56.49652777777778,-63.8125,-49.29225352112676,-74.2140350877193
22.0-3.0,-79.48916408668731,-59.38532110091743,-61.48601398601399,-48.23776223776224,-61.73913043478261,-54.80918727915194,-80.04230769230769
22.0-4.0,-76.58513931888545,-59.963525835866264,-64.49264705882354,-46.90942028985507,-64.45608108108108,-49.77,-80.04330708661418
22.0-5.0,-79.48874598070739,-58.339393939393936,-61.36470588235294,-50.46289752650177,-67.10580204778157,-49.90747330960854,-79.24163568773234
22.0-6.0,-78.90721649484536,-60.22121212121212,-61.9283276450512,-53.073170731707314,-66.33663366336634,-45.08571428571429,-78.6996336996337
22.0-7.0,-74.03134796238244,-56.52870090634441,-64.3538961038961,-54.333333333333336,-64.28776978417267,-46.27402135231317,-75.4390243902439
22.0-8.0,-73.28353658536585,-60.160606060606064,-65.83904109589041,-56.63028169014085,-68.15436241610739,-49.13186813186813,-73.52592592592593
23.0-3.0,-81.81538461538462,-59.65151515151515,-61.57342657342657,-45.10820895522388,-67.52059925093633,-50.77985074626866,-78.81751824817518
23.0-4.0,-81.1217105263158,-58.01219512195122,-63.28102189781022,-51.034129692832764,-65.39655172413794,-53.71666666666667,-79.50922509225093
23.0-5.0,-80.85760517799353,-59.02127659574468,-62.227586206896554,-53.16187050359712,-66.78947368421052,-52.541806020066886,-80.39483394833948
23.0-6.0,-76.96865203761756,-59.86363636363637,-63.41414141414141,-56.83859649122807,-67.43003412969283,-47.708333333333336,-78.18796992481202
23.0-7.0,-78.19018404907976,-59.99696048632219,-62.14179104477612,-54.86194029850746,-62.40268456375839,-44.945205479452056,-78.78867924528302
23.0-8.0,-74.91772151898734,-55.86666666666667,-61.66546762589928,-53.78892733564014,-61.10204081632653,-44.013745704467354,-69.79841897233202
24.0-3.0,-80.09567901234568,-55.342424242424244,-63.42586750788644,-45.69741697416974,-64.98630136986301,-54.75,-76.60350877192982
24.0-4.0,-79.43354430379746,-59.142857142857146,-62.58362989323843,-51.581227436823106,-66.26910299003322,-52.96140350877193,-77.32222222222222
24.0-5.0,-79.4858934169279,-58.46363636363636,-59.54081632653061,-55.142322097378276,-67.10491803278688,-54.36754966887417,-77.34172661870504
24.0-6.0,-77.86626139817629,-60.76219512195122,-63.99354838709677,-50.22545454545455,-65.00641025641026,-50.59574468085106,-78.81180811808117
24.0-7.0,-77.98095238095237,-57.4969512195122,-63.410071942446045,-56.390845070422536,-68.20805369127517,-50.99632352941177,-72.89508196721312
24.0-8.0,-78.71293375394322,-58.319148936170215,-63.85958904109589,-54.99300699300699,-64.7864406779661,-46.313167259786475,-77.05019305019304
25.0-3.0,-79.115625,-62.796407185628745,-65.30357142857143,-49.55944055944056,-64.69924812030075,-52.25167785234899,-78.11194029850746
25.0-4.0,-81.54981549815498,-61.006079027355625,-60.68707482993197,-49.200692041522494,-66.50680272108843,-55.36802973977695,-77.5505617977528
25.0-7.0,-77.05504587155963,-58.68484848484849,-63.93286219081272,-55.52329749103943,-67.5807560137457,-51.094202898550726,-80.1774193548387
25.0-8.0,-76.81645569620254,-58.140243902439025,-63.33566433566433,-54.1455223880597,-64.69724770642202,-49.52068965517241,-79.05084745762711
26.0-3.0,-82.05471124620061,-59.704268292682926,-62.8,-47.47292418772563,-68.02097902097903,-53.47404844290657,-78.04779411764706
26.0-4.0,-79.940625,-58.23939393939394,-65.15646258503402,-49.68512110726643,-64.45192307692308,-52.74125874125874,-77.06153846153846
26.0-5.0,-80.27102803738318,-59.06363636363636,-62.1554054054054,-51.293286219081274,-66.36486486486487,-46.47670250896057,-78.43571428571428
26.0-6.0,-77.01219512195122,-57.20668693009119,-67.11742424242425,-54.73426573426573,-66.40418118466899,-51.01048951048951,-77.04814814814814
26.0-7.0,-75.36593059936908,-56.68787878787879,-64.50714285714285,-52.758865248226954,-66.04054054054055,-46.02173913043478,-78.16606498194946
26.0-8.0,-78.6123076923077,-58.63525835866261,-65.0952380952381,-50.567567567567565,-65.34177215189874,-42.975352112676056,-77.07539682539682
27.0-3.0,-78.78683385579937,-59.342424242424244,-62.064516129032256,-45.21554770318021,-66.1448275862069,-49.69463087248322,-79.38571428571429
27.0-7.0,-78.60402684563758,-55.31515151515151,-64.75352112676056,-52.54295532646048,-65.26732673267327,-41.1578947368421,-75.26811594202898
27.0-8.0,-78.11612903225806,-58.224924012158056,-66.98136645962732,-50.81818181818182,-67.79401993355482,-45.25429553264605,-77.79166666666667
28.0-3.0,-81.02380952380952,-60.18429003021148,-64.16438356164383,-42.411764705882355,-63.56934306569343,-49.96938775510204,-80.24
28.0-7.0,-80.5047619047619,-61.35454545454545,-66.56537102473499,-49.270270270270274,-67.22670807453416,-41.99305555555556,-78.22887323943662
28.0-8.0,-78.58802816901408,-57.82727272727273,-67.47651006711409,-49.61594202898551,-67.61347517730496,-44.02142857142857,-77.45112781954887
29.0-3.0,-82.2425068119891,-60.92424242424242,-66.52559726962457,-44.0387323943662,-65.74226804123711,-49.95017793594306,-75.62352941176471
29.0-7.0,-80.85585585585585,-56.124242424242425,-67.52666666666667,-52.18939393939394,-67.77741935483871,-42.65901639344262,-80.67045454545455
29.0-8.0,-79.88925081433224,-57.16413373860183,-62.108474576271185,-49.9014598540146,-67.33687943262412,-43.69444444444444,-76.07089552238806
3.0-3.0,-60.54798761609907,-49.20060790273556,-57.08791208791209,-57.36293436293436,-48.009433962264154,-59.606617647058826,-57.79225352112676
3.0-7.0,-59.26959247648903,-49.68181818181818,-61.793103448275865,-60.015810276679844,-49.317880794701985,-50.31460674157304,-53.50902527075812
3.0-8.0,-65.46319018404908,-50.73939393939394,-65.60344827586206,-59.732283464566926,-49.49271137026239,-57.0859375,-56.45514950166113
30.0-3.0,-82.58688524590164,-60.8368580060423,-66.31103678929766,-41.73033707865169,-65.77854671280276,-45.35353535353536,-80.20992366412214
30.0-7.0,-76.15141955835962,-58.057575757575755,-66.45302013422818,-46.60507246376812,-67.81372549019608,-41.29056603773585,-80.20242914979757
30.0-8.0,-77.34042553191489,-56.11246200607903,-65.28571428571429,-48.429577464788736,-68.41509433962264,-40.220640569395016,-79.41984732824427
31.0-3.0,-83.32352941176471,-62.527272727272724,-70.98983050847458,-40.81884057971015,-65.50814332247558,-43.57439446366782,-80.70566037735848
31.0-7.0,-78.72168284789645,-59.88449848024316,-66.54237288135593,-43.338235294117645,-70.02135231316726,-40.189189189189186,-79.82142857142857
31.0-8.0,-80.136,-58.19756838905775,-67.82084690553746,-43.805054151624546,-69.98726114649682,-40.308510638297875,-80.66801619433198
32.0-3.0,-82.47115384615384,-61.43161094224924,-69.0909090909091,-40.47670250896057,-70.0204081632653,-43.2956204379562,-79.52651515151516
32.0-4.0,-83.88764044943821,-62.93292682926829,-69.5608108108108,-39.27758007117438,-69.63934426229508,-41.09225092250922,-79.2831541218638
32.0-5.0,-85.18627450980392,-65.10091743119266,-69.2826855123675,-40.44599303135889,-68.83112582781457,-41.16438356164384,-77.56766917293233
32.0-6.0,-82.11400651465799,-62.04848484848485,-66.54934210526316,-50.2876254180602,-70.7681660899654,-44.84375,-80.42125984251969
32.0-7.0,-80.71034482758621,-59.75987841945289,-65.24742268041237,-43.49655172413793,-65.5474006116208,-38.09252669039146,-78.2840909090909
32.0-8.0,-83.46801346801347,-59.81515151515151,-70.3037542662116,-42.32646048109966,-68.47678018575851,-35.44,-82.15537848605578
33.0-3.0,-83.26582278481013,-61.903030303030306,-68.54054054054055,-41.1063829787234,-68.38620689655173,-53.075268817204304,-80.6
33.0-4.0,-83.86706948640483,-58.60550458715596,-71.57291666666667,-38.34736842105263,-66.32042253521126,-46.97752808988764,-83.49056603773585
33.0-7.0,-81.66666666666667,-57.39393939393939,-69.51315789473684,-47.69824561403509,-70.23291925465838,-33.5354609929078,-75.77112676056338
33.0-8.0,-77.8015873015873,-57.358662613981764,-71.79929577464789,-44.84532374100719,-68.20677966101695,-31.756666666666668,-77.94466403162055
4.0-3.0,-65.05144694533762,-48.09615384615385,-58.937282229965156,-54.23574144486692,-50.37979094076655,-58.90384615384615,-60.06382978723404
4.0-7.0,-64.95222929936305,-48.93939393939394,-60.351351351351354,-61.75636363636364,-51.70754716981132,-48.302904564315355,-56.14478114478114
4.0-8.0,-59.41612903225806,-47.67878787878788,-60.99638989169675,-58.7148288973384,-49.74846625766871,-57.943820224719104,-55.06909090909091
5.0-3.0,-59.55696202531646,-46.11515151515152,-55.83141762452107,-52.03859649122807,-52.827118644067795,-55.84426229508197,-64.62989323843416
5.0-7.0,-58.73040752351097,-45.77878787878788,-58.043010752688176,-61.8,-53.08253968253968,-49.31768953068592,-60.235915492957744
5.0-8.0,-60.00316455696203,-47.7060606060606,-60.923611111111114,-61.509433962264154,-56.95454545454545,-53.1,-58.18149466192171
6.0-3.0,-58.924050632911396,-46.294294294294296,-56.06810035842294,-52.70220588235294,-55.159468438538205,-54.7007874015748,-63.48028673835125
6.0-7.0,-56.653979238754324,-44.11515151515152,-60.549019607843135,-62.59842519685039,-54.652317880794705,-52.457364341085274,-60.82671480144404
6.0-8.0,-56.01829268292683,-46.98176291793313,-57.242753623188406,-60.46545454545455,-54.369680851063826,-55.34496124031008,-64.0036496350365
7.0-3.0,-59.50326797385621,-44.52743902439025,-53.514925373134325,-54.89247311827957,-58.01075268817204,-56.44086021505376,-64.80827067669173
7.0-7.0,-60.281967213114754,-44.90243902439025,-59.21660649819495,-58.73309608540925,-55.61875,-51.69961977186312,-62.32222222222222
7.0-8.0,-58.04968944099379,-49.806060606060605,-54.80827067669173,-59.63636363636363,-56.29117647058823,-54.02857142857143,-64.4
8.0-3.0,-60.27300613496933,-50.57575757575758,-53.01034482758621,-52.85053380782918,-52.07817589576547,-56.916058394160586,-66.30175438596491
8.0-7.0,-56.71471471471472,-45.2469512195122,-55.07829181494662,-57.57400722021661,-59.15407854984894,-51.26962457337884,-68.90688259109312
8.0-8.0,-57.17142857142857,-47.659574468085104,-57.248226950354606,-59.428044280442805,-59.64646464646464,-52.25270758122743,-63.58571428571429
9.0-3.0,-62.045180722891565,-50.803030303030305,-49.23859649122807,-51.621212121212125,-56.330935251798564,-55.71024734982332,-64.27915194346289
9.0-4.0,-63.909385113268605,-49.31172839506173,-51.68888888888889,-52.671875,-56.82802547770701,-58.650375939849624,-68.04363636363637
9.0-7.0,-58.97805642633229,-48.88753799392097,-50.56159420289855,-61.78988326848249,-58.775577557755774,-52.83576642335766,-68.99595141700405
9.0-8.0,-54.56,-48.339393939393936,-51.38028169014085,-59.443223443223445,-60.24305555555556,-51.86690647482014,-65.81509433962265
